order_id,order_date,warehouse_id,product_id,quantity,sales_amount
O000001,2023-01-01,W001,P034,1,309.16
O000002,2023-01-01,W004,P037,3,279.99
O000003,2023-01-01,W005,P005,6,6054.78
O000004,2023-01-01,W004,P031,1,571.34
O000005,2023-01-01,W004,P040,7,3470.6
O000006,2023-01-01,W004,P045,18,23839.02
O000007,2023-01-01,W001,P011,14,11344.9
O000008,2023-01-01,W002,P031,3,1714.02
O000009,2023-01-01,W004,P015,10,7524.3
O000010,2023-01-01,W002,P038,7,8269.8
O000011,2023-01-01,W005,P046,19,5060.65
O000012,2023-01-01,W002,P019,4,1708.56
O000013,2023-01-01,W004,P044,16,18816.48
O000014,2023-01-01,W004,P011,11,8913.85
O000015,2023-01-01,W003,P045,7,9270.73
O000016,2023-01-01,W004,P009,4,2054.32
O000017,2023-01-01,W002,P011,20,16207.0
O000018,2023-01-01,W001,P027,20,32741.2
O000019,2023-01-01,W003,P016,5,4083.85
O000020,2023-01-01,W005,P004,5,904.4
O000021,2023-01-01,W003,P017,16,3164.96
O000022,2023-01-01,W002,P012,10,4650.5
O000023,2023-01-01,W001,P005,7,7063.91
O000024,2023-01-01,W004,P008,12,3501.48
O000025,2023-01-01,W001,P036,5,5168.95
O000026,2023-01-01,W004,P017,15,2967.15
O000027,2023-01-01,W003,P050,6,562.68
O000028,2023-01-01,W005,P018,4,6520.08
O000029,2023-01-01,W005,P039,1,974.03
O000030,2023-01-01,W001,P029,4,706.6
O000031,2023-01-01,W001,P007,1,1116.11
O000032,2023-01-01,W005,P003,8,2051.36
O000033,2023-01-01,W002,P041,3,4107.84
O000034,2023-01-01,W002,P024,10,5233.6
O000035,2023-01-01,W003,P046,19,5060.65
O000036,2023-01-01,W005,P032,3,3551.97
O000037,2023-01-01,W002,P042,16,7217.76
O000038,2023-01-01,W003,P009,3,1540.74
O000039,2023-01-01,W002,P029,4,706.6
O000040,2023-01-01,W001,P016,9,7350.93
O000041,2023-01-01,W003,P019,2,854.28
O000042,2023-01-01,W001,P018,7,11410.14
O000043,2023-01-01,W004,P024,12,6280.32
O000044,2023-01-01,W002,P049,10,7961.4
O000045,2023-01-01,W004,P015,4,3009.72
O000046,2023-01-01,W004,P027,18,29467.08
O000047,2023-01-01,W004,P034,3,927.48
O000048,2023-01-01,W001,P029,2,353.3
O000049,2023-01-01,W001,P046,7,1864.45
O000050,2023-01-01,W001,P022,7,1010.17
O000051,2023-01-01,W004,P050,10,937.8
O000052,2023-01-01,W004,P004,17,3074.96
O000053,2023-01-01,W001,P043,9,4337.19
O000054,2023-01-01,W005,P004,14,2532.32
O000055,2023-01-01,W004,P026,14,22637.72
O000056,2023-01-01,W003,P023,5,2363.05
O000057,2023-01-01,W003,P034,2,618.32
O000058,2023-01-01,W004,P029,2,353.3
O000059,2023-01-01,W005,P040,9,4462.2
O000060,2023-01-01,W003,P042,17,7668.87
O000061,2023-01-01,W002,P020,7,7174.23
O000062,2023-01-01,W001,P035,15,3247.95
O000063,2023-01-01,W004,P047,9,10687.86
O000064,2023-01-01,W005,P035,14,3031.42
O000065,2023-01-01,W002,P006,10,1239.5
O000066,2023-01-01,W005,P020,15,15373.35
O000067,2023-01-01,W002,P002,5,5811.05
O000068,2023-01-01,W005,P038,6,7088.4
O000069,2023-01-01,W002,P050,14,1312.92
O000070,2023-01-01,W004,P033,3,1450.35
O000071,2023-01-01,W001,P024,13,6803.68
O000072,2023-01-01,W005,P023,8,3780.88
O000073,2023-01-01,W001,P049,3,2388.42
O000074,2023-01-01,W004,P020,5,5124.45
O000075,2023-01-01,W004,P022,5,721.55
O000076,2023-01-01,W005,P037,2,186.66
O000077,2023-01-01,W003,P020,14,14348.46
O000078,2023-01-01,W005,P044,9,10584.27
O000079,2023-01-01,W004,P034,2,618.32
O000080,2023-01-01,W001,P021,2,496.86
O000081,2023-01-01,W003,P030,3,389.13
O000082,2023-01-01,W002,P046,18,4794.3
O000083,2023-01-01,W004,P006,3,371.85
O000084,2023-01-01,W001,P028,9,9750.87
O000085,2023-01-01,W004,P014,19,6870.02
O000086,2023-01-01,W001,P024,17,8897.12
O000087,2023-01-01,W005,P036,10,10337.9
O000088,2023-01-01,W004,P017,20,3956.2
O000089,2023-01-01,W004,P029,4,706.6
O000090,2023-01-01,W004,P011,9,7293.15
O000091,2023-01-01,W005,P009,9,4622.22
O000092,2023-01-01,W004,P009,10,5135.8
O000093,2023-01-01,W005,P008,11,3209.69
O000094,2023-01-01,W004,P031,1,571.34
O000095,2023-01-01,W002,P036,7,7236.53
O000096,2023-01-01,W001,P039,4,3896.12
O000097,2023-01-01,W001,P008,16,4668.64
O000098,2023-01-01,W005,P019,1,427.14
O000099,2023-01-01,W005,P010,8,5062.88
O000100,2023-01-01,W003,P020,16,16398.24
O000101,2023-01-01,W003,P019,4,1708.56
O000102,2023-01-01,W001,P010,9,5695.74
O000103,2023-01-01,W005,P027,6,9822.36
O000104,2023-01-01,W003,P019,2,854.28
O000105,2023-01-01,W002,P048,20,23414.4
O000106,2023-01-01,W001,P008,16,4668.64
O000107,2023-01-01,W001,P003,18,4615.56
O000108,2023-01-01,W004,P037,3,279.99
O000109,2023-01-01,W005,P029,3,529.95
O000110,2023-01-01,W004,P031,2,1142.68
O000111,2023-01-01,W002,P033,9,4351.05
O000112,2023-01-01,W004,P043,19,9156.29
O000113,2023-01-01,W002,P047,15,17813.1
O000114,2023-01-01,W001,P040,8,3966.4
O000115,2023-01-01,W004,P015,8,6019.44
O000116,2023-01-01,W003,P035,6,1299.18
O000117,2023-01-01,W004,P048,13,15219.36
O000118,2023-01-01,W001,P011,5,4051.75
O000119,2023-01-01,W005,P041,6,8215.68
O000120,2023-01-01,W005,P042,8,3608.88
