snapshot_date,warehouse_id,product_id,stock_on_hand
2023-01-01,W001,P001,244
2023-01-01,W001,P002,95
2023-01-01,W001,P003,76
2023-01-01,W001,P004,135
2023-01-01,W001,P005,218
2023-01-01,W001,P006,168
2023-01-01,W001,P007,387
2023-01-01,W001,P008,118
2023-01-01,W001,P009,212
2023-01-01,W001,P010,70
2023-01-01,W001,P011,109
2023-01-01,W001,P012,247
2023-01-01,W001,P013,0
2023-01-01,W001,P014,131
2023-01-01,W001,P015,584
2023-01-01,W001,P016,206
2023-01-01,W001,P017,137
2023-01-01,W001,P018,233
2023-01-01,W001,P019,328
2023-01-01,W001,P020,0
2023-01-01,W001,P021,316
2023-01-01,W001,P022,230
2023-01-01,W001,P023,101
2023-01-01,W001,P024,84
2023-01-01,W001,P025,333
2023-01-01,W001,P026,77
2023-01-01,W001,P027,122
2023-01-01,W001,P028,141
2023-01-01,W001,P029,461
2023-01-01,W001,P030,204
2023-01-01,W001,P031,555
2023-01-01,W001,P032,502
2023-01-01,W001,P033,1068
2023-01-01,W001,P034,373
2023-01-01,W001,P035,83
2023-01-01,W001,P036,185
2023-01-01,W001,P037,426
2023-01-01,W001,P038,1172
2023-01-01,W001,P039,575
2023-01-01,W001,P040,434
2023-01-01,W001,P041,299
2023-01-01,W001,P042,104
2023-01-01,W001,P043,124
2023-01-01,W001,P044,202
2023-01-01,W001,P045,96
2023-01-01,W001,P046,78
2023-01-01,W001,P047,268
2023-01-01,W001,P048,115
2023-01-01,W001,P049,276
2023-01-01,W001,P050,61
2023-01-01,W002,P001,162
2023-01-01,W002,P002,64
2023-01-01,W002,P003,69
2023-01-01,W002,P004,130
2023-01-01,W002,P005,190
2023-01-01,W002,P006,258
2023-01-01,W002,P007,332
2023-01-01,W002,P008,99
2023-01-01,W002,P009,247
2023-01-01,W002,P010,126
2023-01-01,W002,P011,109
2023-01-01,W002,P012,285
2023-01-01,W002,P013,0
2023-01-01,W002,P014,120
2023-01-01,W002,P015,304
2023-01-01,W002,P016,179
2023-01-01,W002,P017,137
2023-01-01,W002,P018,287
2023-01-01,W002,P019,436
2023-01-01,W002,P020,0
2023-01-01,W002,P021,474
2023-01-01,W002,P022,178
2023-01-01,W002,P023,87
2023-01-01,W002,P024,105
2023-01-01,W002,P025,380
2023-01-01,W002,P026,108
2023-01-01,W002,P027,50
2023-01-01,W002,P028,142
2023-01-01,W002,P029,434
2023-01-01,W002,P030,278
2023-01-01,W002,P031,391
2023-01-01,W002,P032,558
2023-01-01,W002,P033,708
2023-01-01,W002,P034,452
2023-01-01,W002,P035,131
2023-01-01,W002,P036,279
2023-01-01,W002,P037,401
2023-01-01,W002,P038,756
2023-01-01,W002,P039,491
2023-01-01,W002,P040,382
2023-01-01,W002,P041,288
2023-01-01,W002,P042,149
2023-01-01,W002,P043,117
2023-01-01,W002,P044,100
2023-01-01,W002,P045,126
2023-01-01,W002,P046,91
2023-01-01,W002,P047,448
2023-01-01,W002,P048,52
2023-01-01,W002,P049,178
2023-01-01,W002,P050,96
2023-01-01,W003,P001,228
2023-01-01,W003,P002,80
2023-01-01,W003,P003,57
2023-01-01,W003,P004,80
2023-01-01,W003,P005,295
2023-01-01,W003,P006,170
2023-01-01,W003,P007,343
2023-01-01,W003,P008,143
2023-01-01,W003,P009,274
2023-01-01,W003,P010,58
2023-01-01,W003,P011,147
2023-01-01,W003,P012,286
2023-01-01,W003,P013,0
2023-01-01,W003,P014,66
2023-01-01,W003,P015,364
2023-01-01,W003,P016,271
2023-01-01,W003,P017,120
2023-01-01,W003,P018,192
2023-01-01,W003,P019,435
2023-01-01,W003,P020,0
2023-01-01,W003,P021,516
