po_id,supplier_id,product_id,order_date,expected_date,received_date,quantity,unit_cost,delay_days
PO000001,S010,P008,2023-01-01,2023-01-13,2023-01-19,449,222.73,6
PO000002,S011,P039,2023-01-01,2023-01-19,2023-01-19,302,782.71,0
PO000003,S002,P006,2023-01-01,2023-01-07,2023-01-07,420,69.56,0
PO000004,S003,P049,2023-01-01,2023-01-08,2023-01-08,335,546.6,0
PO000005,S011,P014,2023-01-01,2023-01-18,2023-01-18,283,239.69,0
PO000006,S005,P030,2023-01-01,2023-01-06,2023-01-06,60,92.97,0
PO000007,S014,P034,2023-01-01,2023-01-20,2023-01-28,138,183.88,8
PO000008,S002,P022,2023-01-01,2023-01-08,2023-01-08,357,82.67,0
PO000009,S003,P013,2023-01-01,2023-01-06,2023-01-06,423,483.27,0
PO000010,S004,P022,2023-01-01,2023-01-08,2023-01-08,430,82.67,0
PO000011,S013,P014,2023-01-01,2023-01-17,2023-01-22,344,239.69,5
PO000012,S006,P035,2023-01-01,2023-01-09,2023-01-09,278,120.82,0
PO000013,S001,P031,2023-01-01,2023-01-06,2023-01-06,427,419.24,0
PO000014,S002,P050,2023-01-01,2023-01-08,2023-01-08,255,74.15,0
PO000015,S013,P005,2023-01-01,2023-01-18,2023-01-18,393,621.06,0
PO000016,S007,P033,2023-01-01,2023-01-10,2023-01-10,198,316.89,0
PO000017,S015,P007,2023-01-01,2023-01-17,2023-01-17,384,840.82,0
PO000018,S014,P019,2023-01-01,2023-01-17,2023-01-17,296,339.38,0
PO000019,S005,P044,2023-01-01,2023-01-07,2023-01-07,468,743.13,0
PO000020,S006,P034,2023-01-01,2023-01-09,2023-01-09,312,183.88,0
PO000021,S011,P009,2023-01-01,2023-01-21,2023-01-21,259,339.03,0
PO000022,S002,P034,2023-01-01,2023-01-08,2023-01-18,467,183.88,10
PO000023,S007,P003,2023-01-01,2023-01-09,2023-01-09,490,198.22,0
PO000024,S015,P020,2023-01-01,2023-01-18,2023-01-19,315,700.02,1
PO000025,S014,P005,2023-01-01,2023-01-21,2023-01-21,281,621.06,0
PO000026,S007,P007,2023-01-01,2023-01-12,2023-01-12,272,840.82,0
PO000027,S011,P043,2023-01-01,2023-01-17,2023-01-20,330,345.43,3
PO000028,S006,P025,2023-01-01,2023-01-09,2023-01-09,365,569.37,0
PO000029,S013,P037,2023-01-01,2023-01-16,2023-01-21,93,55.25,5
PO000030,S014,P006,2023-01-01,2023-01-17,2023-01-21,214,69.56,4
PO000031,S002,P033,2023-01-01,2023-01-06,2023-01-06,308,316.89,0
PO000032,S001,P011,2023-01-01,2023-01-07,2023-01-07,260,631.26,0
PO000033,S002,P008,2023-01-01,2023-01-06,2023-01-06,255,222.73,0
PO000034,S011,P001,2023-01-01,2023-01-18,2023-01-18,183,405.81,0
PO000035,S014,P019,2023-01-01,2023-01-20,2023-01-20,313,339.38,0
PO000036,S012,P029,2023-01-01,2023-01-19,2023-01-19,198,134.07,0
PO000037,S002,P007,2023-01-01,2023-01-06,2023-01-06,449,840.82,0
PO000038,S006,P038,2023-01-01,2023-01-09,2023-01-09,367,721.51,0
PO000039,S007,P032,2023-01-01,2023-01-12,2023-01-12,260,837.3,0
PO000040,S010,P032,2023-01-01,2023-01-09,2023-01-09,417,837.3,0
PO000041,S004,P034,2023-01-01,2023-01-07,2023-01-07,425,183.88,0
PO000042,S009,P045,2023-01-01,2023-01-10,2023-01-15,461,892.85,5
PO000043,S007,P036,2023-01-01,2023-01-12,2023-01-12,161,783.63,0
PO000044,S013,P020,2023-01-01,2023-01-20,2023-01-20,254,700.02,0
PO000045,S002,P003,2023-01-01,2023-01-07,2023-01-07,267,198.22,0
PO000046,S002,P027,2023-01-01,2023-01-06,2023-01-06,178,942.52,0
PO000047,S008,P001,2023-01-01,2023-01-11,2023-01-11,447,405.81,0
PO000048,S003,P045,2023-01-01,2023-01-06,2023-01-06,332,892.85,0
PO000049,S012,P048,2023-01-01,2023-01-20,2023-01-20,249,782.42,0
PO000050,S001,P005,2023-01-01,2023-01-08,2023-01-08,220,621.06,0
PO000051,S011,P003,2023-01-01,2023-01-21,2023-01-21,489,198.22,0
PO000052,S003,P020,2023-01-01,2023-01-08,2023-01-08,207,700.02,0
PO000053,S012,P009,2023-01-01,2023-01-16,2023-01-23,144,339.03,7
PO000054,S010,P035,2023-01-01,2023-01-11,2023-01-11,377,120.82,0
PO000055,S011,P034,2023-01-01,2023-01-20,2023-01-20,392,183.88,0
PO000056,S003,P032,2023-01-01,2023-01-08,2023-01-08,278,837.3,0
PO000057,S007,P025,2023-01-01,2023-01-09,2023-01-09,446,569.37,0
PO000058,S015,P002,2023-01-01,2023-01-19,2023-01-19,238,745.39,0
PO000059,S013,P016,2023-01-01,2023-01-20,2023-01-20,217,627.17,0
PO000060,S004,P017,2023-01-01,2023-01-07,2023-01-07,226,111.8,0
PO000061,S011,P009,2023-01-01,2023-01-19,2023-01-25,209,339.03,6
PO000062,S013,P030,2023-01-01,2023-01-20,2023-01-20,73,92.97,0
PO000063,S001,P031,2023-01-01,2023-01-08,2023-01-18,117,419.24,10
PO000064,S005,P011,2023-01-01,2023-01-06,2023-01-06,351,631.26,0
PO000065,S003,P049,2023-01-01,2023-01-08,2023-01-08,331,546.6,0
PO000066,S002,P024,2023-01-01,2023-01-08,2023-01-08,236,346.13,0
PO000067,S009,P007,2023-01-01,2023-01-10,2023-01-10,60,840.82,0
PO000068,S004,P004,2023-01-01,2023-01-08,2023-01-08,491,105.18,0
PO000069,S002,P001,2023-01-01,2023-01-06,2023-01-06,416,405.81,0
PO000070,S011,P041,2023-01-01,2023-01-18,2023-01-18,233,869.95,0
PO000071,S014,P033,2023-01-01,2023-01-21,2023-01-26,269,316.89,5
PO000072,S008,P017,2023-01-01,2023-01-13,2023-01-13,490,111.8,0
PO000073,S012,P019,2023-01-01,2023-01-19,2023-01-19,297,339.38,0
PO000074,S003,P043,2023-01-01,2023-01-07,2023-01-07,379,345.43,0
PO000075,S001,P019,2023-01-01,2023-01-07,2023-01-07,143,339.38,0
PO000076,S005,P032,2023-01-01,2023-01-06,2023-01-06,363,837.3,0
PO000077,S012,P004,2023-01-01,2023-01-19,2023-01-19,345,105.18,0
PO000078,S008,P010,2023-01-01,2023-01-09,2023-01-09,180,460.35,0
PO000079,S009,P029,2023-01-01,2023-01-13,2023-01-13,455,134.07,0
PO000080,S011,P019,2023-01-01,2023-01-16,2023-01-16,220,339.38,0
PO000081,S013,P003,2023-01-01,2023-01-16,2023-01-16,172,198.22,0
PO000082,S004,P040,2023-01-01,2023-01-06,2023-01-06,229,390.54,0
PO000083,S013,P009,2023-01-01,2023-01-18,2023-01-18,326,339.03,0
PO000084,S012,P047,2023-01-01,2023-01-17,2023-01-17,404,772.75,0
PO000085,S002,P030,2023-01-01,2023-01-07,2023-01-07,101,92.97,0
PO000086,S012,P025,2023-01-01,2023-01-21,2023-01-21,175,569.37,0
PO000087,S006,P034,2023-01-01,2023-01-12,2023-01-21,468,183.88,9
PO000088,S001,P038,2023-01-01,2023-01-07,2023-01-07,55,721.51,0
PO000089,S007,P035,2023-01-01,2023-01-13,2023-01-13,150,120.82,0
PO000090,S004,P031,2023-01-01,2023-01-06,2023-01-06,142,419.24,0
PO000091,S002,P037,2023-01-01,2023-01-06,2023-01-06,236,55.25,0
PO000092,S011,P026,2023-01-01,2023-01-20,2023-01-23,327,971.11,3
PO000093,S009,P034,2023-01-01,2023-01-13,2023-01-13,342,183.88,0
PO000094,S013,P013,2023-01-01,2023-01-17,2023-01-17,451,483.27,0
PO000095,S014,P038,2023-01-01,2023-01-16,2023-01-23,295,721.51,7
PO000096,S009,P030,2023-01-01,2023-01-13,2023-01-13,232,92.97,0
PO000097,S011,P014,2023-01-01,2023-01-17,2023-01-17,236,239.69,0
PO000098,S013,P044,2023-01-01,2023-01-20,2023-01-28,229,743.13,8
PO000099,S004,P027,2023-01-01,2023-01-08,2023-01-08,232,942.52,0
PO000100,S013,P023,2023-01-01,2023-01-20,2023-01-30,212,295.84,10
PO000101,S012,P023,2023-01-01,2023-01-20,2023-01-20,159,295.84,0
PO000102,S009,P019,2023-01-01,2023-01-13,2023-01-13,378,339.38,0
PO000103,S001,P001,2023-01-01,2023-01-07,2023-01-07,201,405.81,0
PO000104,S013,P046,2023-01-01,2023-01-21,2023-01-27,163,163.61,6
PO000105,S011,P009,2023-01-01,2023-01-20,2023-01-20,400,339.03,0
PO000106,S003,P005,2023-01-01,2023-01-06,2023-01-06,347,621.06,0
PO000107,S003,P019,2023-01-01,2023-01-08,2023-01-08,220,339.38,0
PO000108,S008,P012,2023-01-01,2023-01-12,2023-01-21,369,327.54,9
PO000109,S009,P011,2023-01-01,2023-01-09,2023-01-09,379,631.26,0
PO000110,S012,P036,2023-01-01,2023-01-20,2023-01-20,67,783.63,0
PO000111,S004,P026,2023-01-01,2023-01-06,2023-01-06,445,971.11,0
