shipment_id,order_id,ship_date,delivery_date,status
SH000001,O000001,2023-01-02,,Cancelled
SH000002,O000002,2023-01-02,2023-01-06,Delivered
SH000003,O000003,2023-01-03,2023-01-05,Delivered
SH000004,O000004,2023-01-02,2023-01-06,Delivered
SH000005,O000005,2023-01-03,2023-01-05,Delivered
SH000006,O000006,2023-01-02,2023-01-07,Delivered
SH000007,O000007,2023-01-04,2023-01-07,Delivered
SH000008,O000008,2023-01-04,2023-01-07,Delivered
SH000009,O000009,2023-01-03,2023-01-08,Delivered
SH000010,O000010,2023-01-02,2023-01-06,Delivered
SH000011,O000011,2023-01-02,2023-01-14,Delayed
SH000012,O000012,2023-01-03,2023-01-05,Delivered
SH000013,O000013,2023-01-04,2023-01-06,Delivered
SH000014,O000014,2023-01-04,2023-01-08,Delivered
SH000015,O000015,2023-01-03,2023-01-05,Delivered
SH000016,O000016,2023-01-04,2023-01-06,Delivered
SH000017,O000017,2023-01-02,2023-01-05,Delivered
SH000018,O000018,2023-01-02,2023-01-04,Delivered
SH000019,O000019,2023-01-04,2023-01-09,Delivered
SH000020,O000020,2023-01-02,2023-01-08,Delayed
SH000021,O000021,2023-01-02,2023-01-04,Delivered
SH000022,O000022,2023-01-04,2023-01-06,Delivered
SH000023,O000023,2023-01-03,2023-01-06,Delivered
SH000024,O000024,2023-01-04,2023-01-09,Delivered
SH000025,O000025,2023-01-03,2023-01-09,Delayed
SH000026,O000026,2023-01-03,,Cancelled
SH000027,O000027,2023-01-02,2023-01-06,Delivered
SH000028,O000028,2023-01-04,2023-01-06,Delivered
SH000029,O000029,2023-01-04,2023-01-09,Delivered
SH000030,O000030,2023-01-02,2023-01-07,Delivered
SH000031,O000031,2023-01-04,,Cancelled
SH000032,O000032,2023-01-03,2023-01-06,Delivered
SH000033,O000033,2023-01-03,2023-01-07,Delivered
SH000034,O000034,2023-01-02,2023-01-04,Delivered
SH000035,O000035,2023-01-04,2023-01-06,Delivered
SH000036,O000036,2023-01-02,2023-01-04,Delivered
SH000037,O000037,2023-01-02,2023-01-06,Delivered
SH000038,O000038,2023-01-03,2023-01-08,Delivered
SH000039,O000039,2023-01-04,2023-01-16,Delayed
SH000040,O000040,2023-01-04,2023-01-06,Delivered
SH000041,O000041,2023-01-03,2023-01-08,Delivered
SH000042,O000042,2023-01-02,2023-01-07,Delivered
SH000043,O000043,2023-01-02,2023-01-07,Delivered
SH000044,O000044,2023-01-02,2023-01-04,Delivered
SH000045,O000045,2023-01-02,2023-01-07,Delivered
SH000046,O000046,2023-01-03,2023-01-07,Delivered
SH000047,O000047,2023-01-03,2023-01-08,Delivered
SH000048,O000048,2023-01-02,2023-01-13,Delayed
SH000049,O000049,2023-01-03,2023-01-13,Delayed
SH000050,O000050,2023-01-04,2023-01-08,Delivered
SH000051,O000051,2023-01-04,2023-01-06,Delivered
SH000052,O000052,2023-01-02,2023-01-05,Delivered
SH000053,O000053,2023-01-02,2023-01-10,Delayed
SH000054,O000054,2023-01-04,2023-01-06,Delivered
SH000055,O000055,2023-01-03,2023-01-15,Delayed
SH000056,O000056,2023-01-04,2023-01-09,Delivered
SH000057,O000057,2023-01-02,2023-01-05,Delivered
SH000058,O000058,2023-01-04,2023-01-08,Delivered
SH000059,O000059,2023-01-03,2023-01-05,Delivered
SH000060,O000060,2023-01-02,2023-01-07,Delivered
SH000061,O000061,2023-01-04,2023-01-09,Delivered
SH000062,O000062,2023-01-04,2023-01-07,Delivered
SH000063,O000063,2023-01-04,2023-01-08,Delivered
SH000064,O000064,2023-01-04,2023-01-08,Delivered
SH000065,O000065,2023-01-04,2023-01-09,Delivered
SH000066,O000066,2023-01-04,2023-01-07,Delivered
SH000067,O000067,2023-01-02,2023-01-04,Delivered
SH000068,O000068,2023-01-03,2023-01-08,Delivered
SH000069,O000069,2023-01-04,2023-01-09,Delivered
SH000070,O000070,2023-01-03,2023-01-08,Delivered
SH000071,O000071,2023-01-03,2023-01-05,Delivered
SH000072,O000072,2023-01-02,2023-01-05,Delivered
SH000073,O000073,2023-01-02,,Cancelled
SH000074,O000074,2023-01-02,2023-01-04,Delivered
SH000075,O000075,2023-01-04,2023-01-09,Delivered
SH000076,O000076,2023-01-03,2023-01-05,Delivered
SH000077,O000077,2023-01-03,2023-01-08,Delivered
SH000078,O000078,2023-01-02,2023-01-05,Delivered
SH000079,O000079,2023-01-02,2023-01-05,Delivered
SH000080,O000080,2023-01-03,2023-01-08,Delivered
SH000081,O000081,2023-01-02,2023-01-06,Delivered
SH000082,O000082,2023-01-04,2023-01-07,Delivered
SH000083,O000083,2023-01-02,2023-01-04,Delivered
SH000084,O000084,2023-01-02,2023-01-07,Delivered
SH000085,O000085,2023-01-04,2023-01-09,Delivered
SH000086,O000086,2023-01-04,2023-01-07,Delivered
SH000087,O000087,2023-01-02,2023-01-05,Delivered
SH000088,O000088,2023-01-03,2023-01-07,Delivered
SH000089,O000089,2023-01-02,2023-01-07,Delivered
SH000090,O000090,2023-01-03,2023-01-08,Delivered
SH000091,O000091,2023-01-03,2023-01-07,Delivered
SH000092,O000092,2023-01-04,2023-01-07,Delivered
SH000093,O000093,2023-01-03,2023-01-06,Delivered
SH000094,O000094,2023-01-03,2023-01-07,Delivered
SH000095,O000095,2023-01-03,2023-01-07,Delivered
SH000096,O000096,2023-01-03,2023-01-08,Delivered
SH000097,O000097,2023-01-02,2023-01-05,Delivered
SH000098,O000098,2023-01-02,2023-01-07,Delivered
SH000099,O000099,2023-01-03,2023-01-07,Delivered
SH000100,O000100,2023-01-04,,Cancelled
SH000101,O000101,2023-01-02,2023-01-04,Delivered
SH000102,O000102,2023-01-02,2023-01-04,Delivered
SH000103,O000103,2023-01-04,2023-01-07,Delivered
SH000104,O000104,2023-01-02,2023-01-05,Delivered
SH000105,O000105,2023-01-02,2023-01-07,Delivered
SH000106,O000106,2023-01-02,,Cancelled
SH000107,O000107,2023-01-03,2023-01-08,Delivered
SH000108,O000108,2023-01-03,2023-01-10,Delayed
SH000109,O000109,2023-01-02,2023-01-05,Delivered
SH000110,O000110,2023-01-03,2023-01-06,Delivered
SH000111,O000111,2023-01-03,2023-01-05,Delivered
SH000112,O000112,2023-01-03,2023-01-07,Delivered
SH000113,O000113,2023-01-03,2023-01-05,Delivered
SH000114,O000114,2023-01-02,2023-01-05,Delivered
SH000115,O000115,2023-01-04,2023-01-08,Delivered
SH000116,O000116,2023-01-02,2023-01-06,Delivered
SH000117,O000117,2023-01-02,2023-01-04,Delivered
SH000118,O000118,2023-01-04,2023-01-08,Delivered
SH000119,O000119,2023-01-03,2023-01-05,Delivered
SH000120,O000120,2023-01-04,2023-01-09,Delivered
SH000121,O000121,2023-01-03,2023-01-05,Delivered
SH000122,O000122,2023-01-02,2023-01-07,Delivered
SH000123,O000123,2023-01-03,2023-01-06,Delivered
SH000124,O000124,2023-01-02,2023-01-04,Delivered
SH000125,O000125,2023-01-02,2023-01-07,Delivered
SH000126,O000126,2023-01-03,2023-01-07,Delivered
SH000127,O000127,2023-01-04,2023-01-09,Delivered
SH000128,O000128,2023-01-03,2023-01-14,Delayed
SH000129,O000129,2023-01-04,2023-01-07,Delivered
SH000130,O000130,2023-01-04,2023-01-08,Delivered
SH000131,O000131,2023-01-02,2023-01-05,Delivered
SH000132,O000132,2023-01-02,2023-01-07,Delivered
SH000133,O000133,2023-01-04,2023-01-07,Delivered
SH000134,O000134,2023-01-04,2023-01-09,Delivered
SH000135,O000135,2023-01-02,2023-01-04,Delivered
SH000136,O000136,2023-01-04,2023-01-09,Delivered
SH000137,O000137,2023-01-03,2023-01-05,Delivered
SH000138,O000138,2023-01-04,2023-01-06,Delivered
SH000139,O000139,2023-01-03,2023-01-06,Delivered
SH000140,O000140,2023-01-03,2023-01-05,Delivered
SH000141,O000141,2023-01-03,2023-01-08,Delivered
SH000142,O000142,2023-01-03,2023-01-11,Delayed
SH000143,O000143,2023-01-03,2023-01-11,Delayed
SH000144,O000144,2023-01-04,2023-01-08,Delivered
SH000145,O000145,2023-01-03,2023-01-05,Delivered
SH000146,O000146,2023-01-02,2023-01-07,Delivered
SH000147,O000147,2023-01-03,2023-01-07,Delivered
SH000148,O000148,2023-01-04,2023-01-08,Delivered
SH000149,O000149,2023-01-04,2023-01-07,Delivered
SH000150,O000150,2023-01-02,2023-01-06,Delivered
SH000151,O000151,2023-01-03,2023-01-07,Delivered
SH000152,O000152,2023-01-02,2023-01-05,Delivered
SH000153,O000153,2023-01-03,2023-01-06,Delivered
SH000154,O000154,2023-01-02,2023-01-06,Delivered
SH000155,O000155,2023-01-03,2023-01-07,Delivered
